Lexeme 			 Token 
-------------------------------------
int 			 Keyword
main 			 Identifier
( 			 Operator
) 			 Operator
{ 			 Operator
for 			 Keyword
( 			 Operator
int 			 Keyword
i 			 Identifier
= 			 Operator
22 			 Integer
; 			 Punctuation
i 			 Identifier
<= 			 Operator
100 			 Integer
; 			 Punctuation
i 			 Identifier
= 			 Operator
i 			 Identifier
+ 			 Operator
1 			 Integer
) 			 Operator
{ 			 Operator
while 			 Keyword
( 			 Operator
i 			 Identifier
== 			 Operator
100 			 Integer
) 			 Operator
{ 			 Operator
cout 			 Keyword
<< 			 Operator
"Hello World!" 			 String
; 			 Punctuation
} 			 Operator
} 			 Operator
return 			 Keyword
0 			 Integer
; 			 Punctuation
} 			 Operator
